t,raw,filtered,,,raw,filtered
0,0.085369,0.085369,,,0.091415,0.085369
0.001,0.132594,0.132594,,,-0.218781,0.108981
0.002,0.151654,0.151654,,,0.405483,0.123206
0.003,0.174938,0.174938,,,0.538081,0.153062
0.004,0.165932,0.165932,,,-0.269766,0.164175
0.005,0.202923,0.202923,,,-0.034219,0.181264
0.006,0.241001,0.241001,,,0.415945,0.203285
0.007,0.28547,0.28547,,,0.285074,0.243131
0.008,0.300746,0.300746,,,0.361207,0.275739
0.009,0.285995,0.285995,,,0.084881,0.290737
0.01,0.310174,0.310174,,,0.572836,0.298972
0.011,0.349846,0.349846,,,0.510272,0.315338
0.012,0.317448,0.317448,,,0.270377,0.325823
0.013,0.353515,0.353515,,,0.573517,0.340270
0.014,0.364796,0.364796,,,0.375821,0.345253
0.015,0.405473,0.405473,,,-0.003797,0.374595
0.016,0.396163,0.396163,,,0.402168,0.388811
0.017,0.451752,0.451752,,,0.059573,0.417796
0.018,0.497786,0.497786,,,0.681805,0.448567
0.019,0.51349,0.51349,,,0.485302,0.487676
0.02,0.552185,0.552185,,,0.532327,0.521154
0.021,0.65061,0.65061,,,0.470432,0.572095
0.022,0.706917,0.706917,,,1.121743,0.636571
0.023,0.793491,0.793491,,,0.776756,0.717006
0.024,0.820709,0.820709,,,0.74626,0.773706
0.025,0.908547,0.908547,,,0.801467,0.840916
0.026,0.91864,0.91864,,,1.078873,0.882632
0.027,0.927973,0.927973,,,1.021548,0.918387
0.028,0.867343,0.867343,,,1.01189,0.904652
0.029,0.8759,0.8759,,,0.981205,0.890405
0.03,0.901667,0.901667,,,1.451511,0.881637
0.031,0.890664,0.890664,,,0.643353,0.889410
0.032,0.838394,0.838394,,,0.573098,0.876908
0.033,0.796878,0.796878,,,0.454807,0.841979
0.034,0.802548,0.802548,,,0.870889,0.812607
0.035,0.820078,0.820078,,,1.029698,0.806501
0.036,0.795853,0.795853,,,0.680432,0.806160
0.037,0.817956,0.817956,,,0.503904,0.811296
0.038,0.875617,0.875617,,,0.564875,0.829809
0.039,0.944044,0.944044,,,1.074255,0.879206
0.04,0.978809,0.978809,,,1.174033,0.932823
0.041,1.01645,1.01645,,,1.185043,0.979768
0.042,1.065906,1.065906,,,0.886487,1.020388
0.043,1.140029,1.140029,,,1.207369,1.074128
0.044,1.187002,1.187002,,,1.207504,1.130979
0.045,1.188137,1.188137,,,1.253295,1.171723
0.046,1.18387,1.18387,,,1.443755,1.186336
0.047,1.11644,1.11644,,,1.224444,1.162816
0.048,1.102929,1.102929,,,1.319258,1.134413
0.049,1.05324,1.05324,,,1.081584,1.090870
0.05,0.997651,0.997651,,,1.086736,1.051273
0.051,0.948218,0.948218,,,1.12709,0.999703
0.052,0.931749,0.931749,,,0.443323,0.959206
0.053,0.874188,0.874188,,,0.737857,0.918052
0.054,0.862344,0.862344,,,0.660792,0.889427
0.055,0.804582,0.804582,,,0.596025,0.847038
0.056,0.787807,0.787807,,,0.709533,0.818244
0.057,0.784996,0.784996,,,1.262596,0.792462
0.058,0.858823,0.858823,,,0.591277,0.810542
0.059,0.910691,0.910691,,,1.188974,0.851503
0.06,0.971438,0.971438,,,0.446196,0.913651
0.061,1.0047,1.0047,,,0.902219,0.962276
0.062,1.020546,1.020546,,,1.096159,0.998895
0.063,1.016608,1.016608,,,1.255425,1.013951
0.064,1.038446,1.038446,,,1.308406,1.025200
0.065,0.969113,0.969113,,,1.329011,1.008056
0.066,0.963855,0.963855,,,0.9619,0.990471
0.067,0.916119,0.916119,,,0.88384,0.949696
0.068,0.88351,0.88351,,,1.219278,0.921161
0.069,0.822242,0.822242,,,0.831493,0.873957
0.07,0.768228,0.768228,,,0.426311,0.824660
0.071,0.680696,0.680696,,,0.388365,0.757055
0.072,0.642985,0.642985,,,0.377121,0.697303
0.073,0.626958,0.626958,,,0.737456,0.650213
0.074,0.557778,0.557778,,,0.581485,0.609240
0.075,0.54808,0.54808,,,0.714252,0.577605
0.076,0.547989,0.547989,,,0.36616,0.551282
0.077,0.56218,0.56218,,,0.54707,0.552750
