t,value,ema17,ema1_ma2,ema1_ma3,ema2_ma1,ema2_ma2,filtered,,filtered,fifth,,forth,,third,,second,,first,,,
0,0.091415,0.085369,0.091415,0.091415,0.091415,0.091415,0.085369,627.13,0.085369,0.091415,632.383625,0.091415,628.86893,0.091415,623.989393,0.091415,615.744914,0.091415,539.089139,,<--avarege
0.001,-0.218781,0.132594,0.044886,0.029376,0.013866,-0.001644,0.132594,0.6827195,0.132594,0.001644,0.666675,0.013866,0.6710885,0.029376,0.675137,0.044886,0.6730495,0.075905,0.5986225,,<--mediana
0.002,0.405483,0.151654,0.098975,0.104597,0.11177,0.120494,0.151654,,0.151654,0.120494,,0.11177,,0.104597,,0.098975,,0.092384,,,
0.003,0.538081,0.174938,0.164841,0.191294,0.218348,0.24577,0.174938,,0.174938,0.24577,,0.218348,,0.191294,,0.164841,,0.114669,,,
0.004,-0.269766,0.165932,0.09965,0.099082,0.096319,0.091109,0.165932,,0.165932,0.091109,,0.096319,,0.099082,,0.09965,,0.095447,,,
0.005,-0.034219,0.202923,0.07957,0.072422,0.063685,0.053511,0.202923,,0.202923,0.053511,,0.063685,,0.072422,,0.07957,,0.088964,,,
0.006,0.415945,0.241001,0.130026,0.141126,0.15175,0.162241,0.241001,,0.241001,0.162241,,0.15175,,0.141126,,0.130026,,0.105313,,,
0.007,0.285074,0.28547,0.153283,0.169916,0.185081,0.199091,0.28547,,0.28547,0.199091,,0.185081,,0.169916,,0.153283,,0.114301,,,
0.008,0.361207,0.300746,0.184472,0.208174,0.229112,0.247726,0.300746,,0.300746,0.247726,,0.229112,,0.208174,,0.184472,,0.126646,,,
0.009,0.084881,0.285995,0.169533,0.183516,0.193055,0.198872,0.285995,,0.285995,0.198872,,0.193055,,0.183516,,0.169533,,0.124558,,,
0.01,0.572836,0.310174,0.230029,0.26138,0.288,0.311061,0.310174,,0.310174,0.311061,,0.288,,0.26138,,0.230029,,0.146972,,,
0.011,0.510272,0.349846,0.272065,0.311158,0.343568,0.370825,0.349846,,0.349846,0.370825,,0.343568,,0.311158,,0.272065,,0.165137,,,
0.012,0.270377,0.317448,0.271812,0.303002,0.32527,0.34069,0.317448,,0.317448,0.34069,,0.32527,,0.303002,,0.271812,,0.170399,,,
0.013,0.573517,0.353515,0.317068,0.357105,0.387332,0.410538,0.353515,,0.353515,0.410538,,0.387332,,0.357105,,0.317068,,0.190555,,,
0.014,0.375821,0.364796,0.325881,0.360848,0.384454,0.400123,0.364796,,0.364796,0.400123,,0.384454,,0.360848,,0.325881,,0.199818,,,
0.015,-0.003797,0.405473,0.276429,0.287919,0.287391,0.278947,0.405473,,0.405473,0.278947,,0.287391,,0.287919,,0.276429,,0.189637,,,
0.016,0.402168,0.396163,0.29529,0.310769,0.316086,0.315913,0.396163,,0.396163,0.315913,,0.316086,,0.310769,,0.29529,,0.200264,,,
0.017,0.059573,0.451752,0.259932,0.26053,0.251957,0.239011,0.451752,,0.451752,0.239011,,0.251957,,0.26053,,0.259932,,0.193229,,,
